id,position,light.treatment,exclude,date.birth,date.last.repro,offspring.attached.at.death,Oct.27.2023,Oct.28.2023,Oct.29.2023,Oct.30.2023,Oct.31.2023,Nov.01.2023,Nov.02.2023,Nov.03.2023,Nov.04.2023,Nov.05.2023,Nov.06.2023,Nov.07.2023,Nov.08.2023,Nov.09.2023,Nov.10.2023,Nov.11.2023,Nov.12.2023,Nov.13.2023,Nov.14.2023,Nov.15.2023,Nov.16.2023,Nov.17.2023,Nov.18.2023,Nov.19.2023,Nov.20.2023,Nov.21.2023,Nov.22.2023,Nov.23.2023,Nov.24.2023,Nov.25.2023,Nov.26.2023,Nov.27.2023,Nov.28.2023,Nov.29.2023,Nov.30.2023,Dec.01.2023,Dec.02.2023,Dec.03.2023,Dec.04.2023,Dec.05.2023,Dec.06.2023,Dec.07.2023,Dec.08.2023,Dec.09.2023,Dec.10.2023,Dec.11.2023,Dec.12.2023,Dec.13.2023,Dec.14.2023,Dec.15.2023,Dec.16.2023,Dec.17.2023,Dec.18.2023,Dec.19.2023,Dec.20.2023,Dec.21.2023,Dec.22.2023,Dec.23.2023,Dec.24.2023,Dec.25.2023,Dec.26.2023,Dec.27.2023,Dec.28.2023,Dec.29.2023,Dec.30.2023,Dec.31.2023,Jan.01.2024,Jan.02.2024,Jan.03.2024,Jan.04.2024,Jan.05.2024,Jan.06.2024,Jan.07.2024,Jan.08.2024,Jan.09.2024,Jan.10.2024,Jan.11.2024,Jan.12.2024,Jan.13.2024,Jan.14.2024,Jan.15.2024,Jan.16.2024,Jan.17.2024,Jan.18.2024,Jan.19.2024,Jan.20.2024,Jan.21.2024,Jan.22.2024,Jan.23.2024,Jan.24.2024,Jan.25.2024,Jan.26.2024,Jan.27.2024,Jan.28.2024,Jan.29.2024,Jan.30.2024,Jan.31.2024,Feb.01.2024,Feb.02.2024,Feb.03.2024,Feb.04.2024,Feb.05.2024,Feb.06.2024,Feb.07.2024,Feb.08.2024,Feb.09.2024
1_062,111,1,No,Oct.31.2023,Nov.25.2023,No,NA,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4_117,112,3,No,Nov.01.2023,Nov.28.2023,No,NA,NA,NA,NA,NA,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_137,113,1,No,Oct.31.2023,Nov.08.2023,No,NA,NA,NA,NA,0,1,0,1,0,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_128,114,1,No,Nov.02.2023,Nov.23.2023,No,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4_147,115,3,No,Oct.31.2023,Dec.02.2023,No,NA,NA,NA,NA,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_060,116,1,No,Oct.30.2023,Nov.30.2023,No,NA,NA,NA,0,0,1,0,2,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4_033,117,3,No,Nov.03.2023,Dec.02.2023,No,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4_094,121,3,No,Nov.03.2023,Dec.19.2023,No,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,1,0,0,2,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_113,122,1,No,Oct.31.2023,Nov.29.2023,No,NA,NA,NA,NA,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4_050,123,3,No,Nov.01.2023,Dec.02.2023,No,NA,NA,NA,NA,NA,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1_085,124,1,No,Oct.31.2023,Nov.13.2023,No,NA,NA,NA,NA,0,1,1,1,0,2,0,1,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
